id,title_ru,title_en,focus,equipment,level,minutes,calories,sets,description,requirements,steps,warnings,image,video,history,doctor_review,source_url,data_license,focus_ru,equipment_ru,description_ru,requirements_ru,steps_ru,warnings_ru,history_ru
wger-1225,Дамббелл-широкие бицепсы [wger-1225],Dumbbell wide bicep curls [wger-1225],Arms: Biceps,Dumbbell,средний,13,68,4,Hold a dumbbell in each hand with your hands slightly wider than shoulder-width apart and palms facing forward.\nBend your elbows and lift the dumbbells to your shoulders. Slowly return and repeat.,Инвентарь: Dumbbell. Освободите безопасное место и подготовьте воду.,Hold a dumbbell in each hand with your hands slightly wider than shoulder-width apart and palms facing forward.\nBend your elbows and lift the dumbbells to your shoulders. Slowly return and repeat.,"Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",https://wger.de/media/exercise-images/1225/39a0b7e7-9780-425d-84f5-56d10d1690ac.gif,,,"Справочная проверка безопасности: повышайте объём постепенно и прекращайте подход при потере техники. Инвентарь: Dumbbell. Расход 68 ккал за 13 мин рассчитан ориентировочно для массы 70 кг и меняется с интенсивностью и индивидуальными особенностями. При травмах, боли, беременности, сердечно-сосудистых или иных ограничениях согласуйте нагрузку со специалистом. Это автоматическая справка, не персональное заключение врача.",https://wger.de/en/exercise/1225/view,wger · CC-BY-SA 4 · Lynn_McIntyre,Руки: бицепсы,Дэмббелл,"Держите в каждой руке дуббел, с руками немного шире, чем ширина плеча, и ладоньями, направленными вперед, сгибайте локтеты и поднимите дуббел к плечам, медленно возвращайтесь и повторяйте.",Инвентарь: Дэмббелл. Освободите безопасное место и подготовьте воду.,"Держите в каждой руке дуббел, с руками немного шире, чем ширина плеча, и ладоньями, направленными вперед, сгибайте локтеты и поднимите дуббел к плечам, медленно возвращайтесь и повторяйте.","Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",
wger-1717,Расширение шеи [wger-1717],Neck extension [wger-1717],Arms: Biceps,SZ-Bar,средний,11,58,4,"Unilateral triceps exercise with your back to the pulley, with the pulley at the top",Инвентарь: SZ-Bar. Освободите безопасное место и подготовьте воду.,"Unilateral triceps exercise with your back to the pulley, with the pulley at the top","Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",https://wger.de/static/images/muscles/main/muscle-1.8790f8a0b3b9.svg,,,"Справочная проверка безопасности: повышайте объём постепенно и прекращайте подход при потере техники. Инвентарь: SZ-Bar. Расход 58 ккал за 11 мин рассчитан ориентировочно для массы 70 кг и меняется с интенсивностью и индивидуальными особенностями. При травмах, боли, беременности, сердечно-сосудистых или иных ограничениях согласуйте нагрузку со специалистом. Это автоматическая справка, не персональное заключение врача.",https://wger.de/en/exercise/1717/view,wger · CC-BY-SA 4 · polloperro,Руки: бицепсы,СЗ-Бар,"Односторонние трицепсы с спиной к пуле, с пулеем в верхней части",Инвентарь: СЗ-Бар. Освободите безопасное место и подготовьте воду.,"Односторонние трицепсы с спиной к пуле, с пулеем в верхней части","Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",
wger-1226,Дэмббелл бицепс скрученный для нажатия [wger-1226],Dumbbell bicep curl to press [wger-1226],Arms: Biceps,Dumbbell,продвинутый,14,74,5,Bend your elbows and lift the dumbbells to your shoulders.\nPush the dumbbells over your head while rotating your arms to make your palms face forward. Reverse it to lower down. Repeat the exercise.,Инвентарь: Dumbbell. Освободите безопасное место и подготовьте воду.,Bend your elbows and lift the dumbbells to your shoulders.\nPush the dumbbells over your head while rotating your arms to make your palms face forward. Reverse it to lower down. Repeat the exercise.,"Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",https://wger.de/media/exercise-images/1226/a6154dbd-67a0-4a36-8748-0f5af3865e83.jpg.400x400_q85.jpg,,,"Справочная проверка безопасности: повышайте объём постепенно и прекращайте подход при потере техники. Инвентарь: Dumbbell. Расход 74 ккал за 14 мин рассчитан ориентировочно для массы 70 кг и меняется с интенсивностью и индивидуальными особенностями. При травмах, боли, беременности, сердечно-сосудистых или иных ограничениях согласуйте нагрузку со специалистом. Это автоматическая справка, не персональное заключение врача.",https://wger.de/en/exercise/1226/view,wger · CC-BY-SA 4 · Lynn_McIntyre,Руки: бицепсы,Дэмббелл,"Поклоните локте и поднимите дублины к плечам, переверните руками ручки, чтобы руками было лицо вперед, поверните их вниз, повторяйте упражнение.",Инвентарь: Дэмббелл. Освободите безопасное место и подготовьте воду.,"Поклоните локте и поднимите дублины к плечам, переверните руками ручки, чтобы руками было лицо вперед, поверните их вниз, повторяйте упражнение.","Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",
wger-1227,Задние дюббл-дельта ряды [wger-1227],Dumbbell rear delt row [wger-1227],"Shoulders: Shoulders, Brachialis, Trapezius",Dumbbell,средний,15,79,3,Hold a dumbbell in each hand. Bend at your hips to make your back almost parallel to the floor. Let your arms hang down. Keep your arms in line with your shoulders. bend and lift your elbows out to the sides until your upper arms are parallel to the floor. Slowly return and repeat,Инвентарь: Dumbbell. Освободите безопасное место и подготовьте воду.,Hold a dumbbell in each hand. Bend at your hips to make your back almost parallel to the floor. Let your arms hang down. Keep your arms in line with your shoulders. bend and lift your elbows out to the sides until your upper arms are parallel to the floor. Slowly return and repeat,"Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",https://wger.de/media/exercise-images/1227/57415c3c-2963-4130-9f6f-79f6a96113b6.gif,,,"Справочная проверка безопасности: повышайте объём постепенно и прекращайте подход при потере техники. Инвентарь: Dumbbell. Расход 79 ккал за 15 мин рассчитан ориентировочно для массы 70 кг и меняется с интенсивностью и индивидуальными особенностями. При травмах, боли, беременности, сердечно-сосудистых или иных ограничениях согласуйте нагрузку со специалистом. Это автоматическая справка, не персональное заключение врача.",https://wger.de/en/exercise/1227/view,wger · CC-BY-SA 4 · Lynn_McIntyre,"Оши: Оши, Брахьялис, Трапезий",Дэмббелл,"Держите в каждой руке дублон. Поклонитесь на бедра, чтобы ваша спина была почти параллельна полу. Пусть руки будут привязаны к вам. Держите руки в строю с плечами. Поклонитесь и поднимите локте в сторону, пока верхние руки не будут параллельны полу.",Инвентарь: Дэмббелл. Освободите безопасное место и подготовьте воду.,"Держите в каждой руке дублон. Поклонитесь на бедра, чтобы ваша спина была почти параллельна полу. Пусть руки будут привязаны к вам. Держите руки в строю с плечами. Поклонитесь и поднимите локте в сторону, пока верхние руки не будут параллельны полу.","Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",
wger-1228,Дамббелл закрытый прицеп печати на скамейке [wger-1228],Dumbbell close grip bench press [wger-1228],"Arms: Chest, Triceps",Dumbbell,средний,16,84,4,"Lie down with your back on a flat bench. Hold a dumbbell in each hand. Raise your arms towards the ceiling with your palms facing each other and dumbbells pressed together.\nSlowly lower the dumbbells to your chest, then slowly push them back. Repeat the exercise.",Инвентарь: Dumbbell. Освободите безопасное место и подготовьте воду.,"Lie down with your back on a flat bench. Hold a dumbbell in each hand. Raise your arms towards the ceiling with your palms facing each other and dumbbells pressed together.\nSlowly lower the dumbbells to your chest, then slowly push them back. Repeat the exercise.","Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",https://wger.de/static/images/muscles/main/muscle-4.c9fa9a228bc8.svg,,,"Справочная проверка безопасности: повышайте объём постепенно и прекращайте подход при потере техники. Инвентарь: Dumbbell. Расход 84 ккал за 16 мин рассчитан ориентировочно для массы 70 кг и меняется с интенсивностью и индивидуальными особенностями. При травмах, боли, беременности, сердечно-сосудистых или иных ограничениях согласуйте нагрузку со специалистом. Это автоматическая справка, не персональное заключение врача.",https://wger.de/en/exercise/1228/view,wger · CC-BY-SA 4 · Lynn_McIntyre,"Руки: грудь, трицепсы",Дэмббелл,"Лечь спиной на плоской скамейке, держи в каждой руке ручку, подними руки к потолку, с руками вперёд, с руками накрещенными друг на друга, медленно спустить ручку к груди, затем медленно оттолкнуть назад. Повторите упражнение.",Инвентарь: Дэмббелл. Освободите безопасное место и подготовьте воду.,"Лечь спиной на плоской скамейке, держи в каждой руке ручку, подними руки к потолку, с руками вперёд, с руками накрещенными друг на друга, медленно спустить ручку к груди, затем медленно оттолкнуть назад. Повторите упражнение.","Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",
wger-599,Снач [Wger-599],Snatch [wger-599],Shoulders: Shoulders,Barbell,продвинутый,11,58,5,"Stand with your feet at hip width and your shins against the bar. Grasp the bar at double shoulder width and, keeping your lower back flat, drive your heels into the floor to begin lifting the bar. When it's above your knees, explosively extend your hips and shrug your shoulders. Let the momentum carry the weight overhead.",Инвентарь: Barbell. Освободите безопасное место и подготовьте воду.,"Stand with your feet at hip width and your shins against the bar. Grasp the bar at double shoulder width and, keeping your lower back flat, drive your heels into the floor to begin lifting the bar. When it's above your knees, explosively extend your hips and shrug your shoulders. Let the momentum carry the weight overhead.","Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",https://wger.de/static/images/muscles/main/muscle-2.e1e1205a3202.svg,,,"Справочная проверка безопасности: повышайте объём постепенно и прекращайте подход при потере техники. Инвентарь: Barbell. Расход 58 ккал за 11 мин рассчитан ориентировочно для массы 70 кг и меняется с интенсивностью и индивидуальными особенностями. При травмах, боли, беременности, сердечно-сосудистых или иных ограничениях согласуйте нагрузку со специалистом. Это автоматическая справка, не персональное заключение врача.",https://wger.de/en/exercise/599/view,wger · CC0 · Mens Fitness,Оши: Оши,Барбелл,"Стойте с ногами в ширину бедра и ногами против бара. Хватайте бара на двойной ширине плеча и, держа нижнюю часть спины плоской, поднимите каблуки в пол, чтобы начать поднимать бара. Когда она выше ваших колен, взрывчато протяните бедра и плечи.",Инвентарь: Барбелл. Освободите безопасное место и подготовьте воду.,"Стойте с ногами в ширину бедра и ногами против бара. Хватайте бара на двойной ширине плеча и, держа нижнюю часть спины плоской, поднимите каблуки в пол, чтобы начать поднимать бара. Когда она выше ваших колен, взрывчато протяните бедра и плечи.","Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",
wger-1230,Трицепсы растягиваются влево [wger-1230],Triceps stretch left [wger-1230],Arms: Triceps,none (bodyweight exercise),средний,18,94,3,"Put your left hand on your back, use your right hand to grab your left elbow and gently pull it. Hold this position for a few seconds.",Инвентарь: none (bodyweight exercise). Освободите безопасное место и подготовьте воду.,"Put your left hand on your back, use your right hand to grab your left elbow and gently pull it. Hold this position for a few seconds.","Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",https://wger.de/media/exercise-images/1230/9fd1e2fd-f2c4-432d-b3ae-5e5f24085777.webp.400x400_q85.jpg,,,"Справочная проверка безопасности: повышайте объём постепенно и прекращайте подход при потере техники. Инвентарь: none (bodyweight exercise). Расход 94 ккал за 18 мин рассчитан ориентировочно для массы 70 кг и меняется с интенсивностью и индивидуальными особенностями. При травмах, боли, беременности, сердечно-сосудистых или иных ограничениях согласуйте нагрузку со специалистом. Это автоматическая справка, не персональное заключение врача.",https://wger.de/en/exercise/1230/view,wger · CC-BY-SA 4 · Lynn_McIntyre,Руки: трицепсы,никаких (нагрузки на вес тела),"Положите левую руку на спину, возьмите левый локтей и нежно тяните.",Инвентарь: никаких (нагрузки на вес тела). Освободите безопасное место и подготовьте воду.,"Положите левую руку на спину, возьмите левый локтей и нежно тяните.","Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",
wger-1231,Трицепсы вытягиваются направо [wger-1231],Triceps stretch right [wger-1231],Arms: Triceps,none (bodyweight exercise),средний,19,100,4,"Put your right hand on your back, use your left hand to grab your right elbow and gently pull it. Hold this position for a few seconds.",Инвентарь: none (bodyweight exercise). Освободите безопасное место и подготовьте воду.,"Put your right hand on your back, use your left hand to grab your right elbow and gently pull it. Hold this position for a few seconds.","Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",https://wger.de/media/exercise-images/1231/b10457ce-5fa5-4d20-a32f-3c7100c6a9d9.webp.400x400_q85.jpg,,,"Справочная проверка безопасности: повышайте объём постепенно и прекращайте подход при потере техники. Инвентарь: none (bodyweight exercise). Расход 100 ккал за 19 мин рассчитан ориентировочно для массы 70 кг и меняется с интенсивностью и индивидуальными особенностями. При травмах, боли, беременности, сердечно-сосудистых или иных ограничениях согласуйте нагрузку со специалистом. Это автоматическая справка, не персональное заключение врача.",https://wger.de/en/exercise/1231/view,wger · CC-BY-SA 4 · Lynn_McIntyre,Руки: трицепсы,никаких (нагрузки на вес тела),"Положите правую руку на спину, используйте левую руку, чтобы схватить правый локтей и нежно тянуть его.",Инвентарь: никаких (нагрузки на вес тела). Освободите безопасное место и подготовьте воду.,"Положите правую руку на спину, используйте левую руку, чтобы схватить правый локтей и нежно тянуть его.","Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",
wger-1232,Стоящий бицепс растягивается влево [wger-1232],Standing biceps stretch left [wger-1232],"Arms: Shoulders, Biceps, Chest",none (bodyweight exercise),продвинутый,20,105,5,"Stand with your left arm close to a wall. Extend your left arm and put your left hand on the wall, then gently turn your body to the right.",Инвентарь: none (bodyweight exercise). Освободите безопасное место и подготовьте воду.,"Stand with your left arm close to a wall. Extend your left arm and put your left hand on the wall, then gently turn your body to the right.","Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",https://wger.de/media/exercise-images/1232/2b6de046-5806-49e3-bf36-b6fae16af021.png.400x400_q85.jpg,,,"Справочная проверка безопасности: повышайте объём постепенно и прекращайте подход при потере техники. Инвентарь: none (bodyweight exercise). Расход 105 ккал за 20 мин рассчитан ориентировочно для массы 70 кг и меняется с интенсивностью и индивидуальными особенностями. При травмах, боли, беременности, сердечно-сосудистых или иных ограничениях согласуйте нагрузку со специалистом. Это автоматическая справка, не персональное заключение врача.",https://wger.de/en/exercise/1232/view,wger · CC-BY-SA 4 · Lynn_McIntyre,"Руки: плечи, бицепсы, грудь",никаких (нагрузки на вес тела),"Поднимите левую руку и положите левую руку на стену, а затем медленно поверните тело вправо.",Инвентарь: никаких (нагрузки на вес тела). Освободите безопасное место и подготовьте воду.,"Поднимите левую руку и положите левую руку на стену, а затем медленно поверните тело вправо.","Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",
wger-1233,Стоящий бицепс растягивается направо [wger-1233],Standing biceps stretch right [wger-1233],"Arms: Shoulders, Biceps, Chest",bodyweight,средний,21,110,3,"Stand with your right arm close to a wall. Extend your right arm and put your right hand on the wall, then gently turn your body to the left.",Инвентарь: bodyweight. Освободите безопасное место и подготовьте воду.,"Stand with your right arm close to a wall. Extend your right arm and put your right hand on the wall, then gently turn your body to the left.","Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",https://wger.de/media/exercise-images/1233/d7d6f9e1-7834-4cca-bd3b-f9def33ff44d.png.400x400_q85.jpg,,,"Справочная проверка безопасности: повышайте объём постепенно и прекращайте подход при потере техники. Инвентарь: bodyweight. Расход 110 ккал за 21 мин рассчитан ориентировочно для массы 70 кг и меняется с интенсивностью и индивидуальными особенностями. При травмах, боли, беременности, сердечно-сосудистых или иных ограничениях согласуйте нагрузку со специалистом. Это автоматическая справка, не персональное заключение врача.",https://wger.de/en/exercise/1233/view,wger · CC-BY-SA 4 · Lynn_McIntyre,"Руки: плечи, бицепсы, грудь",вес тела,"Постарайтесь встать с правой рукой рядом с стеной, вытянуть правой рукой и поставить правой на стену, а затем медленно повернуть тело влево.",Инвентарь: вес тела. Освободите безопасное место и подготовьте воду.,"Постарайтесь встать с правой рукой рядом с стеной, вытянуть правой рукой и поставить правой на стену, а затем медленно повернуть тело влево.","Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",
wger-1234,Дэмббелл Одноножный толчок на бедро [wger-1234],Dumbbell Single-leg Hip Thrust [wger-1234],"Legs: Glutes, Hamstrings, Quads",Barbell,средний,22,141,4,"The single-leg hip thrust is performed by placing your upper back on a weight bench, raising one leg, and extending the hip of the other leg to achieve an isolated contraction of the glute.\nBy working each side separately, you can fully isolate your glutes unilaterally, providing maximal training stimulus.",Инвентарь: Barbell. Освободите безопасное место и подготовьте воду.,"The single-leg hip thrust is performed by placing your upper back on a weight bench, raising one leg, and extending the hip of the other leg to achieve an isolated contraction of the glute.\nBy working each side separately, you can fully isolate your glutes unilaterally, providing maximal training stimulus.","Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",https://wger.de/static/images/muscles/main/muscle-8.fbdfb46f3bc0.svg,,,"Справочная проверка безопасности: повышайте объём постепенно и прекращайте подход при потере техники. Инвентарь: Barbell. Расход 141 ккал за 22 мин рассчитан ориентировочно для массы 70 кг и меняется с интенсивностью и индивидуальными особенностями. При травмах, боли, беременности, сердечно-сосудистых или иных ограничениях согласуйте нагрузку со специалистом. Это автоматическая справка, не персональное заключение врача.",https://wger.de/en/exercise/1234/view,wger · CC-BY-SA 4 · carlos3c,"Ноги: Глюты, Хамстрингсы, Квадры",Барбелл,"Поставление верхней части спины на кресло для взвешивания, поднятие одной ноги и расширение бедра другой ноги для достижения изолированного сокращения глюта.",Инвентарь: Барбелл. Освободите безопасное место и подготовьте воду.,"Поставление верхней части спины на кресло для взвешивания, поднятие одной ноги и расширение бедра другой ноги для достижения изолированного сокращения глюта.","Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",
wger-1718,Remo alto polea alta [wger-1718],Remo alto polea alta [wger-1718],"Back: Obliquus externus abdominis, Serratus anterior, Triceps",Barbell,продвинутый,12,70,5,High pulley row with support using a single grip,Инвентарь: Barbell. Освободите безопасное место и подготовьте воду.,High pulley row with support using a single grip,"Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",https://wger.de/static/images/muscles/main/muscle-14.153978038d0b.svg,,,"Справочная проверка безопасности: повышайте объём постепенно и прекращайте подход при потере техники. Инвентарь: Barbell. Расход 70 ккал за 12 мин рассчитан ориентировочно для массы 70 кг и меняется с интенсивностью и индивидуальными особенностями. При травмах, боли, беременности, сердечно-сосудистых или иных ограничениях согласуйте нагрузку со специалистом. Это автоматическая справка, не персональное заключение врача.",https://wger.de/en/exercise/1718/view,wger · CC-BY-SA 4 · polloperro,"Задняя: Obliquus externus abdominis, Serratus anterior, Трицепс",Барбелл,Высокий ряд пулеев с поддержкой с использованием одного прицепника,Инвентарь: Барбелл. Освободите безопасное место и подготовьте воду.,Высокий ряд пулеев с поддержкой с использованием одного прицепника,"Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",
wger-1217,Фингър Пушпу [wger-1217],Finger Pushup [wger-1217],Arms,none (bodyweight exercise),продвинутый,31,163,5,"1. Hand Positioning:\n- Start in a plank position with your hands directly beneath your shoulders.\n- Spread your fingers wide apart, placing them firmly on the ground.\n2. Finger Placement:\n- Gradually lift your palms off the ground, shifting the weight onto your fingers.\n- Focus on distributing the load evenly across your fingertips and thumbs.\n3. Body Alignment:\n- Maintain a straight line from head to heels to engage your core.\n- Keep your body in a controlled and stable position throughout the exercise.\n4. Lowering Phase:\n- Slowly bend your elbows, lowering your chest towards the ground.\n- Ensure controlled movement, maintaining stability on your fingertips.\n5. Pushing Up:\n- Press through your fingertips to straighten your arms, returning to the starting position.\n- Emphasize the engagement of your fingers and thumbs throughout the push-up.",Инвентарь: none (bodyweight exercise). Освободите безопасное место и подготовьте воду.,"1. Hand Positioning:\n- Start in a plank position with your hands directly beneath your shoulders.\n- Spread your fingers wide apart, placing them firmly on the ground.\n2. Finger Placement:\n- Gradually lift your palms off the ground, shifting the weight onto your fingers.\n- Focus on distributing the load evenly across your fingertips and thumbs.\n3. Body Alignment:\n- Maintain a straight line from head to heels to engage your core.\n- Keep your body in a controlled and stable position throughout the exercise.\n4. Lowering Phase:\n- Slowly bend your elbows, lowering your chest towards the ground.\n- Ensure controlled movement, maintaining stability on your fingertips.\n5. Pushing Up:\n- Press through your fingertips to straighten your arms, returning to the starting position.\n- Emphasize the engagement of your fingers and thumbs throughout the push-up.","Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",https://wger.de/media/exercise-images/1217/590e65db-de60-4727-b7eb-55f80af56043.png.400x400_q85.png,,,"Справочная проверка безопасности: повышайте объём постепенно и прекращайте подход при потере техники. Инвентарь: none (bodyweight exercise). Расход 163 ккал за 31 мин рассчитан ориентировочно для массы 70 кг и меняется с интенсивностью и индивидуальными особенностями. При травмах, боли, беременности, сердечно-сосудистых или иных ограничениях согласуйте нагрузку со специалистом. Это автоматическая справка, не персональное заключение врача.",https://wger.de/en/exercise/1217/view,wger · CC-BY-SA 4 · wger community,Оружие,никаких (нагрузки на вес тела),"1. Позиционирование рук:\n- Начните в положении доски с руками прямо под плечами.\n- Расширь пальцы, и держи их на земле.\n2. Размещение пальцев:\n- Постепенно поднимите ладонь с земли, переместив вес на пальцы.\n- Сосредоточьтесь на равномерном распределении груза по концам пальцев и пальцам.\n3. Сопоставление тела:\n- Держите прямую линию от головы до каблуков, чтобы задействовать ядро.\n- Держите тело в контролируемой и стабильной позиции на протяжении всего упражнения.\n4. Фаза снижения:\n- Постепенно сгибайте локте, снижая грудь к земле.\n- Убедитесь, что движение контролируется, сохраняйте стабильность на концах пальцев.\n5. Повышение:\n- Нажмите через концы пальцев, чтобы выпрямить руки, возвращаясь в исходное положение.\n- Подчеркните, что ваши пальцы и пальцы связаны во время подъема.",Инвентарь: никаких (нагрузки на вес тела). Освободите безопасное место и подготовьте воду.,"1. Позиционирование рук:\n- Начните в положении доски с руками прямо под плечами.\n- Расширь пальцы, и держи их на земле.\n2. Размещение пальцев:\n- Постепенно поднимите ладонь с земли, переместив вес на пальцы.\n- Сосредоточьтесь на равномерном распределении груза по концам пальцев и пальцам.\n3. Сопоставление тела:\n- Держите прямую линию от головы до каблуков, чтобы задействовать ядро.\n- Держите тело в контролируемой и стабильной позиции на протяжении всего упражнения.\n4. Фаза снижения:\n- Постепенно сгибайте локте, снижая грудь к земле.\n- Убедитесь, что движение контролируется, сохраняйте стабильность на концах пальцев.\n5. Повышение:\n- Нажмите через концы пальцев, чтобы выпрямить руки, возвращаясь в исходное положение.\n- Подчеркните, что ваши пальцы и пальцы связаны во время подъема.","Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",
wger-1238,Пост лягушек [wger-1238],Frog stand [wger-1238],"Abs: Shoulders, Biceps, Brachialis, Abs",none (bodyweight exercise),продвинутый,26,121,5,"Starting position:\nStand with your feet shoulder-width apart and your toes pointing forward, facing a wall or bench for support if needed.\nBend your knees into a squat position.\nPlace your hands on the ground in front of you, shoulder-width apart, with your fingers spread wide.\nMake sure your elbows are under your shoulders and your body forms a straight line from your head to your heels.\nUpward phase:\nPush with your feet and hands to lift your body off the ground.\nStraighten your legs and arms, keeping your body aligned.\nEngage your core and glutes to maintain the position.\nIf needed, rest your knees on the wall or bench for assistance.",Инвентарь: none (bodyweight exercise). Освободите безопасное место и подготовьте воду.,"Starting position:\nStand with your feet shoulder-width apart and your toes pointing forward, facing a wall or bench for support if needed.\nBend your knees into a squat position.\nPlace your hands on the ground in front of you, shoulder-width apart, with your fingers spread wide.\nMake sure your elbows are under your shoulders and your body forms a straight line from your head to your heels.\nUpward phase:\nPush with your feet and hands to lift your body off the ground.\nStraighten your legs and arms, keeping your body aligned.\nEngage your core and glutes to maintain the position.\nIf needed, rest your knees on the wall or bench for assistance.","Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",https://wger.de/static/images/muscles/main/muscle-2.e1e1205a3202.svg,,,"Справочная проверка безопасности: повышайте объём постепенно и прекращайте подход при потере техники. Инвентарь: none (bodyweight exercise). Расход 121 ккал за 26 мин рассчитан ориентировочно для массы 70 кг и меняется с интенсивностью и индивидуальными особенностями. При травмах, боли, беременности, сердечно-сосудистых или иных ограничениях согласуйте нагрузку со специалистом. Это автоматическая справка, не персональное заключение врача.",https://wger.de/en/exercise/1238/view,wger · CC-BY-SA 4 · clafal,"Плохое тело: плечи, бицепсы, брахиалис, плохое тело",никаких (нагрузки на вес тела),"Положение начала:\nСтойте с ногами в разных объемах, а пальцы пальцев выставлены вперед, если это необходимо, в сторону стены или скамейки.\nПоклони колени в положении приседания.\nПоложите руки на землю перед собой, разделившись по ширине плеча, с разложенными пальцами.\nУбедитесь, что локтеты находятся под плечами, и ваше тело будет иметь прямой путь от головы до каблуков.\nФаза восхождения:\nНажимайте ногами и руками, чтобы поднять тело с земли.\nВыпрями ноги и руки, сохраняя своё тело в строю.\nЗадействуйте ядро и слизистые слизи, чтобы сохранить положение.\nЕсли это необходимо, подымайте колени на стену или скамейку для помощи.",Инвентарь: никаких (нагрузки на вес тела). Освободите безопасное место и подготовьте воду.,"Положение начала:\nСтойте с ногами в разных объемах, а пальцы пальцев выставлены вперед, если это необходимо, в сторону стены или скамейки.\nПоклони колени в положении приседания.\nПоложите руки на землю перед собой, разделившись по ширине плеча, с разложенными пальцами.\nУбедитесь, что локтеты находятся под плечами, и ваше тело будет иметь прямой путь от головы до каблуков.\nФаза восхождения:\nНажимайте ногами и руками, чтобы поднять тело с земли.\nВыпрями ноги и руки, сохраняя своё тело в строю.\nЗадействуйте ядро и слизистые слизи, чтобы сохранить положение.\nЕсли это необходимо, подымайте колени на стену или скамейку для помощи.","Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",
