id,title_ru,title_en,category,kind,calories,protein,fat,carbs,sugar,carb_type,fiber,alcohol,salt,health_level,composition,ingredients,preparation,minutes,cost,image,video,history,doctor_review,source_url,data_license
off-3329770077003,"Skyr nature 0% — Yoplait SKYR, 850 g [3329770077003]","Skyr nature 0% — Yoplait SKYR, 850 g [3329770077003]",Dairies,product,56,10,0,4,4,простые,0,,0.14,9,Yaourt maigre,Yaourt maigre,,0,0,https://images.openfoodfacts.org/images/products/332/977/007/7003/front_en.164.200.jpg,,,"Справочная нутриционная оценка по опубликованному составу и Nutri-Score: мало сахара по данным карточки. Ориентир по частоте: может регулярно входить в разнообразный рацион при подходящем размере порции. Проверяйте фактическую порцию, аллергены и этикетку. Это автоматическая справка, не персональный отзыв врача и не назначение лечения.",http://world-en.openfoodfacts.org/product/3329770077003/skyr-nature-0-yoplait-skyr,Open Food Facts — ODbL 1.0
off-6111242100206,"Yaourt nature — Jaouda, 110 g [6111242100206]","Yaourt nature — Jaouda, 110 g [6111242100206]",Dairies,product,78,4,3,8,0,сложные,0,,0,8,"lait frais entier, poudre de lait écrémé, amidon, ferment lactique sélectionné","lait frais entier, poudre de lait écrémé, amidon, ferment lactique sélectionné",,0,0,https://images.openfoodfacts.org/images/products/611/124/210/0206/front_en.38.200.jpg,,,"Справочная нутриционная оценка по опубликованному составу и Nutri-Score: мало сахара по данным карточки. Ориентир по частоте: может регулярно входить в разнообразный рацион при подходящем размере порции. Проверяйте фактическую порцию, аллергены и этикетку. Это автоматическая справка, не персональный отзыв врача и не назначение лечения.",http://world-en.openfoodfacts.org/product/6111242100206/yaourt-nature-jaouda,Open Food Facts — ODbL 1.0
off-3760049798609,"Pain de mie grandes tranches Seigle & Graines 500g — La Boulangère, 500 g [3760049798609]","Pain de mie grandes tranches Seigle & Graines 500g — La Boulangère, 500 g [3760049798609]",Plant-based foods and beverages,drink,297,12,10,37,4,сложные,7,,0.96,9,"Farine de BLÉ* 41 % , eau, graines de lin brun 6,1 %, graines de lin jaune 6,1 %, graines de tournesol décortiquées 6 %, farine de SEIGLE 5,1 %, GLUTEN DE BLÉ, farine d'ORGE maltée torréfiée, levure, extrait de malt d'ORGE, sel, vinaigre, arôme naturel (contient alcool), conservateur : propionate de calcium, jus d'acérola déshydraté. Traces éventuelles d'œufs, lait, graines de sésame, soja et moutarde. * Ingrédient issu du commerce équitable français.","Farine de BLÉ* 41 % , eau, graines de lin brun 6,1 %, graines de lin jaune 6,1 %, graines de tournesol décortiquées 6 %, farine de SEIGLE 5,1 %, GLUTEN DE BLÉ, farine d'ORGE maltée torréfiée, levure, extrait de malt d'ORGE, sel, vinaigre, arôme naturel (contient alcool), conservateur : propionate de calcium, jus d'acérola déshydraté. Traces éventuelles d'œufs, lait, graines de sésame, soja et moutarde. * Ingrédient issu du commerce équitable français.",,0,0,https://images.openfoodfacts.org/images/products/376/004/979/8609/front_en.140.200.jpg,,,"Справочная нутриционная оценка по опубликованному составу и Nutri-Score: мало сахара по данным карточки; есть значимое количество клетчатки (7 г). Ориентир по частоте: может регулярно входить в разнообразный рацион при подходящем размере порции. Проверяйте фактическую порцию, аллергены и этикетку. Это автоматическая справка, не персональный отзыв врача и не назначение лечения.",http://world-en.openfoodfacts.org/product/3760049798609/pain-de-mie-grandes-tranches-seigle-graines-500g-la-boulangere,Open Food Facts — ODbL 1.0
off-06175700,"Tartines craquantes au sarrasin imp — Ekibio,Le pain des Fleurs, 160 g [06175700]","Tartines craquantes au sarrasin imp — Ekibio,Le pain des Fleurs, 160 g [06175700]",Plant-based foods and beverages,drink,388,13,3,75,3,сложные,4,,0.68,9,Farine de sarrasin*. *issue de l'agriculture biologique. . riche en magnésium . ⚫ source de fibres ⚫ source de fer . ⚫ source de protéines (1) contient des sucres naturellement présents.,Farine de sarrasin*. *issue de l'agriculture biologique. . riche en magnésium . ⚫ source de fibres ⚫ source de fer . ⚫ source de protéines (1) contient des sucres naturellement présents.,,0,0,https://images.openfoodfacts.org/images/products/000/000/617/5700/front_fr.90.200.jpg,,,"Справочная нутриционная оценка по опубликованному составу и Nutri-Score: мало сахара по данным карточки. Ориентир по частоте: может регулярно входить в разнообразный рацион при подходящем размере порции. Проверяйте фактическую порцию, аллергены и этикетку. Это автоматическая справка, не персональный отзыв врача и не назначение лечения.",http://world-en.openfoodfacts.org/product/06175700/tartines-craquantes-au-sarrasin-imp-ekibio,Open Food Facts — ODbL 1.0
off-3168930010265,"cruesly mélange de noix — Quaker, 450 g [3168930010265]","cruesly mélange de noix — Quaker, 450 g [3168930010265]",Plant-based foods and beverages,drink,462,8,19,57,12,сложные,10,,0,8,"_avoine_ complète (32%), _blé_ complet (18%), sirop de glucose, huile de tournesol, sucre, _amandes_ grillées (4,2%), _noisettes_ (4%), oligofructose, _noix de Pécan_ (1,5%), farine de _blé_, farine de riz, _noix du Brésil_ (1%), miel, arômes naturels, antioxydant (tocophérol).","_avoine_ complète (32%), _blé_ complet (18%), sirop de glucose, huile de tournesol, sucre, _amandes_ grillées (4,2%), _noisettes_ (4%), oligofructose, _noix de Pécan_ (1,5%), farine de _blé_, farine de riz, _noix du Brésil_ (1%), miel, arômes naturels, antioxydant (tocophérol).",,0,0,https://images.openfoodfacts.org/images/products/316/893/001/0265/front_en.297.200.jpg,,,"Справочная нутриционная оценка по опубликованному составу и Nutri-Score: есть значимое количество клетчатки (10 г); высокая энергетическая плотность (462 ккал); сладкие напитки легче дают избыток сахара без насыщения. Ориентир по частоте: может регулярно входить в разнообразный рацион при подходящем размере порции. Проверяйте фактическую порцию, аллергены и этикетку. Это автоматическая справка, не персональный отзыв врача и не назначение лечения.",http://world-en.openfoodfacts.org/product/3168930010265/cruesly-melange-de-noix-quaker,Open Food Facts — ODbL 1.0
off-3175680011480,"Sésame — Gerblé, 230 g [3175680011480]","Sésame — Gerblé, 230 g [3175680011480]",Snacks,sweet,467,10,18,64,17,смешанные,5,,0.38,6,"Farine de blé 57%, sucre de canne roux, huile de colza, sésame toasté 10,6%, germe de blé 5,4%, farine complète de blé 5,4%, arôme naturel, magnésium, émulsifiant : lécithines, poudres à lever (tartrates de potassium, carbonates de sodium, carbonates d'ammonium), sel de mer, amidon de blé, vitamines (E, PP, B6, B1, B9). Fabriqué dans un atelier qui utilise des fruits à coque, du lait, du lupin, de la moutarde, des oeufs et du soja","Farine de blé 57%, sucre de canne roux, huile de colza, sésame toasté 10,6%, germe de blé 5,4%, farine complète de blé 5,4%, arôme naturel, magnésium, émulsifiant : lécithines, poudres à lever (tartrates de potassium, carbonates de sodium, carbonates d'ammonium), sel de mer, amidon de blé, vitamines (E, PP, B6, B1, B9). Fabriqué dans un atelier qui utilise des fruits à coque, du lait, du lupin, de la moutarde, des oeufs et du soja",,0,0,https://images.openfoodfacts.org/images/products/317/568/001/1480/front_fr.325.200.jpg,,,"Справочная нутриционная оценка по опубликованному составу и Nutri-Score: высокая энергетическая плотность (467 ккал). Ориентир по частоте: обычно подходит для периодического употребления с учётом порции и остального рациона. Проверяйте фактическую порцию, аллергены и этикетку. Это автоматическая справка, не персональный отзыв врача и не назначение лечения.",http://world-en.openfoodfacts.org/product/3175680011480/sesame-gerble,Open Food Facts — ODbL 1.0
off-3046920022651,"Excellence 70% cacao noir intense — Lindt, 100 g [3046920022651]","Excellence 70% cacao noir intense — Lindt, 100 g [3046920022651]",Fermented foods,sweet,566,10,41,35,30,простые,0,,0.02,2,"Pâte de cacao, sucre, beurre de cacao, vanille. Peut contenir des fruits à coque, du lait, du soja et des graines de sésame.","Pâte de cacao, sucre, beurre de cacao, vanille. Peut contenir des fruits à coque, du lait, du soja et des graines de sésame.",,0,0,https://images.openfoodfacts.org/images/products/304/692/002/2651/front_en.159.200.jpg,,,"Справочная нутриционная оценка по опубликованному составу и Nutri-Score: много сахара (30 г на 100 г/мл); высокая энергетическая плотность (566 ккал). Ориентир по частоте: лучше оставить для редкого употребления, если врач или диетолог не рекомендовал иначе. Проверяйте фактическую порцию, аллергены и этикетку. Это автоматическая справка, не персональный отзыв врача и не назначение лечения.",http://world-en.openfoodfacts.org/product/3046920022651/excellence-70-cacao-noir-intense-lindt,Open Food Facts — ODbL 1.0
off-3017620422003,Nutella [3017620422003],Nutella [3017620422003],Petit-dejeuners,product,539,6,31,58,56,простые,0,,0.11,2,"Sucre, huile de palme, NOISETTES 13%, cacao maigre 7,4%, LAIT écrémé en poudre 6,6%, LACTOSERUM en poudre, émulsifiants: lécithines [SOJA), vanilline. Sans gluten.","Sucre, huile de palme, NOISETTES 13%, cacao maigre 7,4%, LAIT écrémé en poudre 6,6%, LACTOSERUM en poudre, émulsifiants: lécithines [SOJA), vanilline. Sans gluten.",,0,0,https://images.openfoodfacts.org/images/products/301/762/042/2003/front_en.820.200.jpg,,,"Справочная нутриционная оценка по опубликованному составу и Nutri-Score: много сахара (56 г на 100 г/мл); высокая энергетическая плотность (539 ккал). Ориентир по частоте: лучше оставить для редкого употребления, если врач или диетолог не рекомендовал иначе. Проверяйте фактическую порцию, аллергены и этикетку. Это автоматическая справка, не персональный отзыв врача и не назначение лечения.",http://world-en.openfoodfacts.org/product/3017620422003/nutella,Open Food Facts — ODbL 1.0
off-3046920022606,"Excellence 85% cacao — Lindt, 100g [3046920022606]","Excellence 85% cacao — Lindt, 100g [3046920022606]",Snacks,sweet,584,12,46,22,15,простые,0,,0.02,2,"Pâte de cacao, cacao maigre, beurre de cacao, cassonade, vanille","Pâte de cacao, cacao maigre, beurre de cacao, cassonade, vanille",,0,0,https://images.openfoodfacts.org/images/products/304/692/002/2606/front_en.102.200.jpg,,,"Справочная нутриционная оценка по опубликованному составу и Nutri-Score: высокая энергетическая плотность (584 ккал). Ориентир по частоте: лучше оставить для редкого употребления, если врач или диетолог не рекомендовал иначе. Проверяйте фактическую порцию, аллергены и этикетку. Это автоматическая справка, не персональный отзыв врача и не назначение лечения.",http://world-en.openfoodfacts.org/product/3046920022606/excellence-85-cacao-lindt,Open Food Facts — ODbL 1.0
off-3760020507350,"Pur beurre de cacahuète — Jardin Bio étic, 350 g [3760020507350]","Pur beurre de cacahuète — Jardin Bio étic, 350 g [3760020507350]",Plant-based foods and beverages,drink,628,27,51,12,5,смешанные,6,,0,8,CACAHUETES issues de l'agriculture biologique. Peut contenir des traces de FRUITS A COQUE et de graines de SESAME.,CACAHUETES issues de l'agriculture biologique. Peut contenir des traces de FRUITS A COQUE et de graines de SESAME.,,0,0,https://images.openfoodfacts.org/images/products/376/002/050/7350/front_en.257.200.jpg,,,"Справочная нутриционная оценка по опубликованному составу и Nutri-Score: мало сахара по данным карточки; есть значимое количество клетчатки (6 г); высокое содержание белка (27 г); высокая энергетическая плотность (628 ккал). Ориентир по частоте: может регулярно входить в разнообразный рацион при подходящем размере порции. Проверяйте фактическую порцию, аллергены и этикетку. Это автоматическая справка, не персональный отзыв врача и не назначение лечения.",http://world-en.openfoodfacts.org/product/3760020507350/pur-beurre-de-cacahuete-jardin-bio-etic,Open Food Facts — ODbL 1.0
off-6111203006653,"Cheddar — la Hollandaise, 24 336g [6111203006653]","Cheddar — la Hollandaise, 24 336g [6111203006653]",Dairies,product,270,9,21,6,6,простые,0,,1.5,4,"(AJR 30%) ¿S-250 (AJR 100%) ¿S 10 (AJR 30%) ¿L 3,5 (AJR 30%) ¿S 300 فيتامين A فيتامين D فيتامين E كالسيوم جبنة مذوبة للدهن 50% مواد دسمة في المادة الجافة. الوزن الصافي : - المكونات حليب خالي من الدسم مشكل شيدر %25، زبدة، أملاح مستحلبة (E452 E341 E450) بروتينات الحليب قلح، مادة حافظة: سوربات البوتاسيوم، الكالسيوم، فيتامين ED،A أنتج بالمغرب من م.ص. عين الـ يحفظ في مكا تاريخ الاستخـ Agrément sanitaire MA LPL.5.11.13 111203 006653 LOONEY TUNES TH www.LOONEYTUNES.COM TH&War Bros Certamente 615) // AJR = Apports j","(AJR 30%) ¿S-250 (AJR 100%) ¿S 10 (AJR 30%) ¿L 3,5 (AJR 30%) ¿S 300 فيتامين A فيتامين D فيتامين E كالسيوم جبنة مذوبة للدهن 50% مواد دسمة في المادة الجافة. الوزن الصافي : - المكونات حليب خالي من الدسم مشكل شيدر %25، زبدة، أملاح مستحلبة (E452 E341 E450) بروتينات الحليب قلح، مادة حافظة: سوربات البوتاسيوم، الكالسيوم، فيتامين ED،A أنتج بالمغرب من م.ص. عين الـ يحفظ في مكا تاريخ الاستخـ Agrément sanitaire MA LPL.5.11.13 111203 006653 LOONEY TUNES TH www.LOONEYTUNES.COM TH&War Bros Certamente 615) // AJR = Apports j",,0,0,https://images.openfoodfacts.org/images/products/611/120/300/6653/front_ar.14.200.jpg,,,"Справочная нутриционная оценка по опубликованному составу и Nutri-Score: много соли (1.5 г на 100 г/мл). Ориентир по частоте: лучше употреблять умеренно и сравнивать с менее сладкими или солёными вариантами. Проверяйте фактическую порцию, аллергены и этикетку. Это автоматическая справка, не персональный отзыв врача и не назначение лечения.",http://world-en.openfoodfacts.org/product/6111203006653/cheddar-la-hollandaise,Open Food Facts — ODbL 1.0
off-8052575090254,"Rigoni di Asiago - Nocciolata bio, 650 g [8052575090254]","Rigoni di Asiago - Nocciolata bio, 650 g [8052575090254]",Breakfasts,sweet,544,8,32,54,51,простые,4,1.07,0.12,2,"Sucre*, pâte de noisettes* 18,5%, huile de tournesol*, lait écrémé en poudre*, cacao maigre en poudre* 6,5%, beurre de cacao*, émulsifiant: lécithine de soja*, extrait de vanille*. *Biologique","Sucre*, pâte de noisettes* 18,5%, huile de tournesol*, lait écrémé en poudre*, cacao maigre en poudre* 6,5%, beurre de cacao*, émulsifiant: lécithine de soja*, extrait de vanille*. *Biologique",,0,0,https://images.openfoodfacts.org/images/products/805/257/509/0254/front_en.43.200.jpg,,,"Справочная нутриционная оценка по опубликованному составу и Nutri-Score: много сахара (51 г на 100 г/мл); высокая энергетическая плотность (544 ккал); содержит алкоголь; безопасной универсальной дозы приложение не определяет. Ориентир по частоте: лучше оставить для редкого употребления, если врач или диетолог не рекомендовал иначе. Проверяйте фактическую порцию, аллергены и этикетку. Это автоматическая справка, не персональный отзыв врача и не назначение лечения.",http://world-en.openfoodfacts.org/product/8052575090254/rigoni-di-asiago-nocciolata-bio,Open Food Facts — ODbL 1.0
off-3017620425035,"Nutella, 1 kg [3017620425035]","Nutella, 1 kg [3017620425035]",Pates-a-tartiner-au-chocolat,product,539,6,31,58,56,простые,0,,0.11,2,"Sucre, huile de palme, NOISETTES 13%, LAIT écrémé en poudre 8,7%, cacao maigre 7,4%, émulsifiants: lécithines [SOJA]; vanilline. Sans gluten","Sucre, huile de palme, NOISETTES 13%, LAIT écrémé en poudre 8,7%, cacao maigre 7,4%, émulsifiants: lécithines [SOJA]; vanilline. Sans gluten",,0,0,https://images.openfoodfacts.org/images/products/301/762/042/5035/front_en.583.200.jpg,,,"Справочная нутриционная оценка по опубликованному составу и Nutri-Score: много сахара (56 г на 100 г/мл); высокая энергетическая плотность (539 ккал). Ориентир по частоте: лучше оставить для редкого употребления, если врач или диетолог не рекомендовал иначе. Проверяйте фактическую порцию, аллергены и этикетку. Это автоматическая справка, не персональный отзыв врача и не назначение лечения.",http://world-en.openfoodfacts.org/product/3017620425035/nutella,Open Food Facts — ODbL 1.0
off-6111031005064,"Tonik, 22 g [6111031005064]","Tonik, 22 g [6111031005064]",Snacks,sweet,504,4,22,72,40,простые,0,,0.22,2,"Coffret fourré au cacao (41,6%) et à la vanille (208) - Ingrédients Farine de blé, sucre, huile végétale non hydrogénée (huile de palme), filtrat de lait, poudre de cacao Émulsifiant à faible teneur en cacao (322) Lécithine de soja) Agent levant (5000) Sucre artificiel (vanilline) Sel Contient du lait, du blé (gluten) du soja","Coffret fourré au cacao (41,6%) et à la vanille (208) - Ingrédients Farine de blé, sucre, huile végétale non hydrogénée (huile de palme), filtrat de lait, poudre de cacao Émulsifiant à faible teneur en cacao (322) Lécithine de soja) Agent levant (5000) Sucre artificiel (vanilline) Sel Contient du lait, du blé (gluten) du soja",,0,0,https://images.openfoodfacts.org/images/products/611/103/100/5064/front_fr.56.200.jpg,,,"Справочная нутриционная оценка по опубликованному составу и Nutri-Score: много сахара (40 г на 100 г/мл); высокая энергетическая плотность (504 ккал). Ориентир по частоте: лучше оставить для редкого употребления, если врач или диетолог не рекомендовал иначе. Проверяйте фактическую порцию, аллергены и этикетку. Это автоматическая справка, не персональный отзыв врача и не назначение лечения.",http://world-en.openfoodfacts.org/product/6111031005064/tonik,Open Food Facts — ODbL 1.0
off-3229820100234,"Fourrés Chocolat Noir — Bjorg, 225 g [3229820100234]","Fourrés Chocolat Noir — Bjorg, 225 g [3229820100234]",Snacks,sweet,476,8,19,66,27,смешанные,5,,0.49,4,"Farine de blé* 41%, Chocolat noir* 22% (pâte de cacao*, sucre de canne&quot;, beurre de cacao&quot;), Sucre de canne* roux non raffiné, Farine complète de blé* 16%, Huile de tournesol oléique*, Arôme naturel de vanille, Lait écrémé en poudre, Sel de mer, carbonates d'ammonium, carbonates de sodium, gomme d'acacia*, extraits de romarin* Peut contenir du soja, des œufs, des fruits à coque, des graines de sésame et de la moutarde. *Ingrédients biologiques.","Farine de blé* 41%, Chocolat noir* 22% (pâte de cacao*, sucre de canne&quot;, beurre de cacao&quot;), Sucre de canne* roux non raffiné, Farine complète de blé* 16%, Huile de tournesol oléique*, Arôme naturel de vanille, Lait écrémé en poudre, Sel de mer, carbonates d'ammonium, carbonates de sodium, gomme d'acacia*, extraits de romarin* Peut contenir du soja, des œufs, des fruits à coque, des graines de sésame et de la moutarde. *Ingrédients biologiques.",,0,0,https://images.openfoodfacts.org/images/products/322/982/010/0234/front_fr.246.200.jpg,,,"Справочная нутриционная оценка по опубликованному составу и Nutri-Score: много сахара (27 г на 100 г/мл); высокая энергетическая плотность (476 ккал). Ориентир по частоте: лучше употреблять умеренно и сравнивать с менее сладкими или солёными вариантами. Проверяйте фактическую порцию, аллергены и этикетку. Это автоматическая справка, не персональный отзыв врача и не назначение лечения.",http://world-en.openfoodfacts.org/product/3229820100234/fourres-chocolat-noir-bjorg,Open Food Facts — ODbL 1.0
